fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,type
6.5,0.3,0.26,7.0,0.040,18,113,0.9937,3.17,0.38,10.2,6,white
6.0,0.2,0.33,1.1,0.039,45,126,0.9905,3.31,0.45,11.6,7,white
6.0,0.1,0.47,10.6,0.052,69,148,0.9958,2.91,0.34,9.3,4,white
6.5,0.3,0.12,11.5,0.033,35,165,0.9974,3.22,0.32,9.0,5,white
6.3,0.3,0.30,3.1,0.039,24,115,0.9942,3.05,0.43,8.6,5,white
10.2,0.5,0.47,2.6,0.062,6,27,0.9999,3.11,0.59,9.2,7,red
7.0,0.2,0.28,8.6,0.045,37,221,0.9954,3.25,0.54,10.4,6,white
6.4,0.5,0.08,4.9,0.046,34,144,0.9945,3.10,0.56,10.0,5,white
6.4,0.3,0.57,1.0,0.060,15,120,0.9924,3.06,0.41,9.5,5,white
6.0,0.3,0.27,15.5,0.036,31,134,0.9941,3.19,0.44,13.0,7,white
6.4,0.3,0.30,1.6,0.040,19,86,0.9909,3.32,0.65,11.5,6,white
6.9,0.4,0.30,13.5,0.048,52,189,0.9979,2.99,0.60,9.5,7,white
8.6,0.5,0.38,1.5,0.096,5,18,0.9967,3.20,0.52,9.4,5,red
8.9,0.2,0.37,1.2,0.028,20,93,0.9924,3.20,0.37,11.5,5,white
7.0,0.3,0.48,6.1,0.042,60,184,0.9957,3.20,0.50,9.4,6,white
6.8,0.5,0.28,26.1,0.031,27,122,1.0030,3.06,0.42,10.6,6,white
6.7,0.3,0.29,2.8,0.025,37,107,0.9916,3.31,0.63,11.3,7,white
7.4,0.2,0.43,1.4,0.044,22,113,0.9938,3.22,0.62,10.6,6,white
6.8,0.9,0.29,4.8,0.070,15,39,0.9958,3.53,0.54,11.1,5,red
10.4,0.3,0.48,1.9,0.066,6,10,0.9972,3.33,0.87,10.9,6,red
7.3,0.3,0.30,9.4,0.057,34,178,0.9955,3.15,0.44,10.4,6,white
8.9,0.6,0.41,7.9,0.086,30,109,0.9998,3.27,0.57,9.3,5,red
6.8,0.3,0.29,2.0,0.042,19,189,0.9952,3.46,0.54,10.2,6,white
7.1,0.3,0.24,12.6,0.044,48,118,0.9973,3.04,0.56,10.0,7,white
8.5,0.4,0.20,2.8,0.090,18,58,0.9980,3.34,0.70,9.6,6,red
7.1,0.2,0.37,1.5,0.049,28,129,0.9923,3.15,0.52,10.8,5,white
8.8,0.7,0.26,1.7,0.074,4,23,0.9971,3.15,0.74,9.2,5,red
8.6,0.5,0.30,3.0,0.076,30,135,0.9976,3.30,0.53,9.4,5,red
7.5,0.2,0.28,1.0,0.039,27,101,0.9925,3.18,0.32,10.0,6,white
7.6,0.6,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,5,red
7.2,0.3,0.28,14.4,0.055,55,205,0.9986,3.12,0.38,9.0,7,white
7.0,0.2,0.30,6.1,0.037,31,120,0.9939,3.24,0.51,10.8,5,white
6.9,0.3,0.32,1.6,0.036,34,114,0.9907,3.19,0.45,11.4,7,white
6.5,0.3,0.48,8.0,0.024,19,87,0.9914,3.22,0.79,12.8,4,white
6.9,0.3,0.27,4.2,0.031,20,80,0.9909,3.12,0.39,11.5,6,white
7.1,0.3,0.47,13.6,0.056,54,197,0.9978,3.10,0.49,9.3,5,white
8.8,0.3,0.40,2.8,0.109,7,16,0.9961,3.31,0.79,11.8,7,red
7.0,0.3,0.49,4.0,0.050,36,136,0.9937,2.93,0.40,9.5,6,white
7.2,0.5,0.00,0.8,0.034,46,114,0.9932,3.19,0.34,9.2,4,white
7.7,0.5,0.28,2.1,0.087,24,54,0.9979,3.42,0.76,9.2,5,red
6.2,0.2,0.49,0.9,0.033,17,51,0.9932,3.30,0.70,9.4,6,white
6.8,0.3,0.28,4.8,0.034,25,100,0.9903,3.08,0.47,12.4,7,white
7.2,0.4,0.36,5.7,0.038,26,98,0.9914,2.93,0.59,12.5,7,white
6.5,0.3,0.20,5.8,0.039,21,146,0.9943,3.14,0.64,9.9,6,white
12.7,0.6,0.63,5.7,0.083,8,42,1.0023,3.07,0.73,10.2,7,red
7.7,0.3,0.35,5.3,0.030,30,117,0.9920,3.11,0.42,12.2,6,white
8.8,0.2,0.30,5.0,0.028,34,120,0.9924,2.94,0.47,11.2,5,white
7.0,1.0,0.04,2.0,0.087,12,67,0.9957,3.35,0.60,9.4,4,red
6.5,0.3,0.19,6.6,0.045,98,175,0.9936,3.16,0.34,10.1,6,white
8.4,0.2,0.32,1.3,0.048,59,113,0.9918,3.10,0.55,11.0,6,white
7.4,0.2,0.38,8.6,0.052,41,150,0.9953,3.06,0.46,10.3,5,white
10.9,0.5,0.49,4.6,0.118,10,17,1.0002,3.07,0.56,11.7,6,red
7.6,0.2,0.32,18.8,0.047,32,193,1.0001,3.10,0.50,9.3,7,white
7.8,0.6,0.12,2.0,0.082,7,28,0.9970,3.37,0.50,9.4,6,red
7.6,0.2,0.36,2.4,0.049,38,123,0.9960,3.60,0.46,10.3,5,white
12.7,0.6,0.49,2.8,0.075,5,19,0.9994,3.14,0.57,11.4,5,red
6.1,0.3,0.25,1.8,0.086,5,32,0.9946,3.36,0.44,10.1,5,red
6.8,0.3,0.24,4.6,0.053,41,211,0.9955,3.37,0.67,9.5,6,white
9.6,0.4,0.37,2.3,0.091,10,23,0.9979,3.24,0.56,10.5,5,red
6.4,0.3,0.19,5.4,0.042,67,181,0.9944,3.31,0.35,10.2,6,white
6.3,0.2,0.40,1.5,0.037,35,107,0.9917,3.46,0.50,11.4,6,white
7.9,0.5,0.24,2.2,0.072,15,105,0.9960,3.26,0.54,9.5,6,red
7.7,0.7,0.49,1.8,0.115,20,112,0.9968,3.21,0.71,9.3,5,red
8.1,0.2,0.44,14.1,0.053,43,145,1.0006,3.28,0.75,8.8,8,white
6.4,0.3,0.44,3.6,0.197,75,183,0.9942,3.01,0.38,9.1,5,white
12.6,0.3,0.72,2.2,0.072,6,29,0.9987,2.88,0.82,9.8,8,red
7.3,0.5,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,5,red
6.8,0.6,0.20,1.8,0.077,11,65,0.9971,3.54,0.58,9.3,5,red
6.7,0.3,0.25,8.0,0.053,54,202,0.9961,3.22,0.43,9.3,5,white
7.8,0.3,0.29,16.9,0.054,23,135,0.9998,3.16,0.38,9.0,6,white
7.1,0.7,0.35,2.0,0.088,9,92,0.9963,3.28,0.62,9.4,5,red
12.1,0.3,0.51,2.5,0.065,11,20,1.0001,3.13,1.17,9.2,7,red
5.9,0.7,0.23,5.0,0.035,20,128,0.9902,3.46,0.48,12.8,6,white
9.0,0.2,0.49,1.0,0.039,46,131,0.9930,3.09,0.51,10.5,7,white
5.8,0.3,0.19,16.1,0.049,27,167,0.9976,3.08,0.46,8.8,5,white
7.1,0.3,0.31,2.2,0.044,29,128,0.9937,3.34,0.64,10.9,8,white
8.6,0.2,0.25,11.3,0.031,13,96,0.9965,3.11,0.40,10.8,5,white
7.7,0.5,1.00,19.6,0.030,28,135,0.9973,3.24,0.40,12.0,6,white
7.3,0.3,0.35,1.6,0.054,31,148,0.9918,3.18,0.47,10.7,5,white
6.4,0.1,0.38,0.9,0.037,48,114,0.9912,3.40,0.50,11.6,8,white
6.6,0.3,0.32,1.3,0.044,18,93,0.9904,3.11,0.56,12.3,5,white
7.0,0.2,0.24,1.8,0.047,29,91,0.9925,3.30,0.43,9.9,6,white
7.8,0.2,0.23,1.7,0.029,39,128,0.9927,3.37,0.41,10.7,7,white
7.2,0.5,0.07,1.4,0.074,5,20,0.9973,3.32,0.81,9.6,6,red
7.4,0.2,0.31,8.4,0.045,52,183,0.9963,3.09,0.32,8.8,5,white
6.9,0.2,0.62,6.3,0.042,7,109,0.9936,2.96,0.59,10.2,6,white
7.2,0.6,0.08,4.0,0.082,26,108,0.9964,3.25,0.51,9.4,5,red
8.8,0.6,0.19,4.0,0.094,30,69,0.9979,3.22,0.50,10.0,6,red
6.8,0.3,0.18,1.4,0.056,13,137,0.9935,3.11,0.42,9.5,5,white
6.5,0.3,0.27,2.8,0.067,8,44,0.9938,3.21,0.56,12.0,6,red
6.4,0.5,0.16,12.9,0.042,26,138,0.9974,3.28,0.33,9.0,5,white
6.7,0.5,0.24,1.7,0.077,18,34,0.9948,3.39,0.60,10.6,6,red
15.6,0.7,0.76,3.7,0.100,6,43,1.0032,2.95,0.68,11.2,7,red
7.7,0.7,0.10,2.6,0.084,9,26,0.9976,3.39,0.49,9.7,5,red
6.7,0.3,0.29,2.8,0.025,37,107,0.9916,3.31,0.63,11.3,7,white
7.8,0.3,0.22,1.4,0.056,24,130,0.9944,3.28,0.48,9.5,5,white
5.3,0.3,0.38,10.5,0.031,53,140,0.9932,3.34,0.46,11.7,6,white
5.8,0.3,0.20,16.1,0.047,26,166,0.9976,3.09,0.46,8.9,5,white
7.3,0.2,0.21,1.6,0.046,35,133,0.9947,3.38,0.46,10.0,6,white
7.5,0.6,0.06,2.6,0.089,11,36,0.9977,3.42,0.77,9.6,6,red
6.9,0.3,0.21,7.2,0.045,54,190,0.9960,3.22,0.48,9.4,5,white
6.2,0.4,0.14,8.9,0.036,38,155,0.9962,3.27,0.50,9.4,5,white
6.0,0.3,0.31,5.0,0.043,54,170,0.9924,3.28,0.52,11.0,6,white
7.6,0.3,0.58,7.9,0.041,62,180,0.9966,3.07,0.38,9.0,5,white
8.8,0.3,0.25,5.0,0.024,52,99,0.9925,2.87,0.49,11.4,5,white
7.9,0.5,0.31,1.8,0.074,8,22,0.9958,3.31,0.58,10.5,6,red
5.3,0.6,0.01,1.7,0.054,5,27,0.9934,3.57,0.84,12.5,7,red
6.5,0.4,0.31,13.6,0.053,20,113,0.9954,3.20,0.56,11.0,6,white
8.4,0.6,0.29,2.6,0.109,31,119,0.9980,3.15,0.50,9.1,5,red
5.8,0.3,0.30,2.6,0.034,75,129,0.9902,3.20,0.38,11.5,4,white
6.4,0.3,0.41,6.8,0.045,61,216,0.9952,3.09,0.46,9.4,5,white
6.8,0.5,0.28,26.1,0.031,27,122,1.0030,3.06,0.42,10.6,6,white
5.4,0.3,0.28,7.8,0.052,27,91,0.9943,3.19,0.38,10.4,6,white
7.0,0.4,0.24,1.0,0.048,8,119,0.9923,3.00,0.31,10.1,4,white
7.5,0.2,0.34,1.4,0.035,13,102,0.9918,3.05,0.74,11.0,5,white
10.0,0.6,0.24,2.2,0.079,19,58,0.9991,3.18,0.56,10.1,6,red
7.1,0.2,0.74,15.6,0.044,44,176,0.9996,3.38,0.67,9.0,6,white
6.4,0.3,0.30,5.5,0.038,15,129,0.9948,3.14,0.49,9.6,6,white
7.1,0.3,0.31,1.5,0.053,20,98,0.9907,3.15,0.50,11.4,5,white
6.7,0.3,0.33,3.6,0.034,9,45,0.9914,3.08,0.40,10.5,6,white
6.6,0.2,0.20,11.4,0.044,45,131,0.9960,2.96,0.51,9.7,6,white
6.4,0.2,0.32,1.0,0.041,23,131,0.9903,3.25,0.35,11.8,5,white
7.7,0.3,0.59,11.2,0.038,42,150,0.9979,3.07,0.49,8.4,6,white
6.0,0.1,0.17,5.6,0.036,37,127,0.9937,3.05,0.57,9.8,6,white
6.0,0.2,0.26,14.7,0.045,53,125,0.9984,2.99,0.69,9.4,6,white
6.6,0.3,0.49,7.7,0.049,53,217,0.9960,3.16,0.40,9.3,5,white
7.2,0.3,0.24,2.0,0.071,30,52,0.9958,3.44,0.58,10.1,5,red
6.7,0.3,0.14,1.4,0.043,64,159,0.9920,3.17,0.39,10.0,5,white
6.9,0.5,0.04,3.0,0.077,7,27,0.9987,3.69,0.91,9.4,6,red
10.1,0.4,0.57,3.3,0.068,5,9,0.9973,3.05,0.63,9.6,5,red
7.6,0.2,0.44,1.9,0.036,10,119,0.9913,3.01,0.70,12.8,6,white
7.9,0.4,0.49,8.2,0.056,32,164,0.9965,3.29,0.60,11.2,7,white
7.7,0.4,0.25,2.6,0.073,30,63,0.9962,3.38,0.59,10.6,6,red
7.4,0.2,0.34,2.3,0.045,74,214,0.9934,3.18,0.61,9.9,7,white
6.9,0.5,0.11,2.4,0.043,6,12,0.9935,3.30,0.65,11.4,6,red
9.1,0.3,0.42,1.8,0.058,9,18,0.9939,3.18,0.55,11.4,5,red
5.8,0.2,0.34,1.0,0.035,40,86,0.9899,3.50,0.42,11.7,5,white
7.0,0.3,0.29,7.6,0.025,35,124,0.9916,3.15,0.65,12.8,7,white
5.5,0.3,0.38,2.6,0.033,10,69,0.9909,3.12,0.59,10.8,6,white
5.8,0.3,0.24,9.2,0.044,55,152,0.9961,3.31,0.38,9.4,5,white
6.4,0.3,0.21,8.2,0.050,51,182,0.9954,3.23,0.48,9.5,5,white
7.0,0.7,0.00,2.2,0.076,10,23,0.9970,3.49,0.51,9.1,5,red
7.6,0.2,0.34,1.6,0.043,24,129,0.9931,3.12,0.70,10.4,5,white
6.4,0.2,0.31,1.1,0.044,25,96,0.9932,3.54,0.51,10.3,6,white
6.6,0.2,0.28,1.1,0.044,38,100,0.9904,3.22,0.69,11.2,6,white
5.3,0.4,0.26,3.9,0.031,45,128,0.9906,3.31,0.58,11.8,7,white
6.7,0.3,0.30,8.6,0.028,31,106,0.9915,3.01,0.33,12.3,8,white
5.9,0.3,0.27,1.5,0.029,37,81,0.9892,3.20,0.46,12.2,6,white
9.2,0.5,1.00,3.4,0.610,32,69,0.9996,2.74,2.00,9.4,4,red
7.2,0.3,0.28,15.2,0.046,6,41,0.9967,3.17,0.39,10.9,6,white
7.5,0.2,0.37,6.2,0.050,21,138,0.9955,3.20,0.55,10.5,6,white
5.9,0.3,0.34,7.4,0.037,59,205,0.9949,3.25,0.42,9.5,5,white
7.1,0.2,0.33,1.2,0.039,34,97,0.9911,3.11,0.75,11.2,6,white
7.0,0.3,0.48,3.8,0.048,37,136,0.9939,2.94,0.40,9.2,6,white
5.6,0.4,0.22,7.1,0.050,44,154,0.9931,3.30,0.40,10.5,5,white
7.1,0.4,0.52,1.3,0.148,45,149,0.9947,3.08,0.56,8.7,5,white
7.8,0.3,0.37,2.0,0.082,24,58,0.9964,3.34,0.59,9.4,6,red
7.8,0.3,0.29,16.9,0.054,23,135,0.9998,3.16,0.38,9.0,6,white
6.8,0.2,0.27,2.1,0.030,26,139,0.9900,3.16,0.61,12.6,7,white
6.4,0.2,0.28,2.5,0.032,24,84,0.9917,3.31,0.55,11.5,5,white
7.8,0.2,0.26,9.0,0.047,38,132,0.9970,3.25,0.53,10.2,6,white
5.9,0.4,0.30,1.5,0.033,35,95,0.9899,3.36,0.56,12.0,7,white
7.9,0.4,0.30,1.8,0.157,2,45,0.9973,3.31,0.91,9.5,6,red
5.6,0.2,0.29,2.3,0.040,5,47,0.9913,3.07,0.45,10.1,4,white
6.9,0.3,0.26,2.0,0.037,44,122,0.9928,3.43,0.48,10.9,7,white
6.0,0.4,0.39,3.2,0.027,20,125,0.9910,3.38,0.39,11.3,7,white
6.6,0.4,0.19,10.5,0.060,15,82,0.9959,3.13,0.38,9.9,4,white
6.2,0.2,0.27,1.7,0.038,41,150,0.9933,3.49,0.71,10.5,7,white
6.2,0.3,0.25,1.4,0.030,35,105,0.9912,3.30,0.44,11.1,7,white
6.2,0.3,0.26,12.1,0.046,43,127,0.9951,3.16,0.37,10.8,6,white
6.6,0.4,0.46,6.2,0.056,42,241,0.9968,3.50,0.60,9.9,5,white
6.0,0.2,0.22,1.6,0.042,36,106,0.9905,3.24,0.32,11.4,6,white
9.6,0.2,0.40,1.5,0.044,19,135,0.9937,2.96,0.49,10.9,5,white
6.6,0.5,0.26,2.6,0.043,29,83,0.9910,3.37,0.51,12.0,8,white
6.9,0.4,0.17,12.9,0.033,59,186,0.9975,3.08,0.49,9.4,5,white
6.4,0.2,0.25,7.8,0.050,13,68,0.9939,3.16,0.40,9.9,6,white
5.8,0.3,0.21,6.6,0.040,50,167,0.9941,3.29,0.62,10.0,5,white
8.0,0.2,0.37,1.3,0.040,15,96,0.9912,3.06,0.61,12.1,6,white
7.1,0.4,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,5,red
6.1,0.2,0.25,12.1,0.035,54,135,0.9948,3.21,0.40,10.7,5,white
7.0,0.5,0.43,6.1,0.029,6,76,0.9912,3.08,0.50,12.5,8,white
6.6,0.3,0.49,11.4,0.035,57,137,0.9973,3.08,0.54,8.9,6,white
9.0,0.8,0.24,1.7,0.078,10,21,0.9969,3.29,0.67,10.0,5,red
6.6,0.9,0.04,2.2,0.066,12,20,0.9964,3.53,0.56,9.9,5,red
6.8,0.3,0.47,4.7,0.034,35,156,0.9945,3.13,0.46,9.9,7,white
7.2,0.2,0.36,2.0,0.029,21,63,0.9908,3.13,0.63,12.5,6,white
8.9,0.6,0.18,3.8,0.168,50,148,0.9985,3.17,0.93,9.1,6,red
5.8,0.3,0.30,3.9,0.026,36,105,0.9896,3.26,0.58,12.8,6,white
7.8,0.6,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,5,red
6.4,0.3,0.38,7.8,0.046,35,192,0.9955,3.10,0.37,9.0,5,white
7.8,0.4,0.21,1.6,0.105,10,38,0.9966,3.17,0.91,9.4,4,red
6.7,0.6,0.24,1.1,0.039,6,62,0.9934,3.41,0.32,10.4,5,white
7.1,0.2,0.28,2.7,0.034,23,111,0.9941,3.35,0.64,10.2,4,white
6.2,0.2,0.18,11.6,0.044,61,155,0.9966,3.14,0.52,9.4,6,white
7.2,0.3,0.30,10.7,0.044,61,222,0.9972,3.14,0.50,9.1,6,white
8.4,0.7,0.60,2.1,0.112,12,90,0.9973,3.20,0.52,9.2,5,red
6.6,0.3,0.21,2.9,0.026,48,126,0.9909,3.22,0.38,11.3,7,white
9.9,0.4,0.41,2.3,0.083,11,61,0.9982,3.21,0.50,9.5,5,red
6.5,0.5,0.25,1.7,0.048,39,177,0.9921,3.28,0.57,10.6,5,white
8.0,0.7,0.56,2.0,0.118,30,134,0.9968,3.24,0.66,9.4,5,red
6.6,0.6,0.30,5.1,0.057,30,123,0.9949,3.24,0.38,9.0,5,white
6.1,0.3,0.27,4.7,0.030,56,140,0.9904,3.16,0.42,12.5,8,white
6.9,0.4,0.17,12.9,0.033,59,186,0.9975,3.08,0.49,9.4,5,white
6.2,0.3,0.27,10.1,0.056,38,187,0.9949,3.31,0.56,10.6,5,white
5.5,0.2,0.32,14.0,0.031,16,99,0.9944,3.26,0.38,11.5,8,white
9.1,0.2,0.24,2.1,0.078,1,28,0.9990,3.41,0.87,10.3,6,red
7.1,0.2,0.31,3.8,0.021,40,142,0.9922,3.17,0.39,10.8,7,white
6.2,0.8,0.01,3.2,0.041,18,120,0.9903,3.20,0.94,13.7,7,white
6.6,0.3,0.41,2.0,0.027,14,79,0.9906,3.27,0.63,12.4,6,white
3.8,0.3,0.02,11.1,0.036,20,114,0.9925,3.75,0.44,12.4,6,white
6.7,0.3,0.18,7.7,0.043,57,200,0.9957,3.17,0.44,9.4,6,white
6.5,0.2,0.36,16.3,0.038,43,133,0.9992,3.26,0.41,8.8,5,white
6.2,0.3,0.29,1.3,0.042,26,138,0.9956,3.77,0.64,9.5,5,white
7.3,0.3,0.35,1.4,0.050,8,163,0.9924,3.24,0.42,10.7,5,white
6.9,0.2,0.49,6.6,0.036,49,172,0.9932,3.20,0.27,11.5,6,white
6.2,0.3,0.24,1.7,0.039,139,272,0.9945,3.53,0.53,9.6,4,white
9.4,0.3,0.30,1.6,0.045,36,139,0.9953,3.11,0.49,9.3,5,white
6.0,0.5,0.04,2.2,0.092,13,26,0.9965,3.46,0.47,10.0,5,red
6.0,0.3,0.30,1.9,0.033,41,142,0.9891,3.29,0.42,12.8,7,white
6.6,0.3,0.30,14.4,0.052,40,183,0.9980,3.02,0.50,9.1,6,white
7.4,0.3,0.37,13.5,0.060,52,192,0.9975,3.00,0.44,9.1,5,white
7.9,0.3,0.68,8.3,0.050,38,278,0.9932,3.01,0.51,12.3,7,red
7.9,0.3,0.51,15.3,0.047,54,171,0.9987,3.09,0.51,9.1,5,white
4.9,0.3,0.34,1.0,0.068,32,143,0.9914,3.24,0.40,10.1,5,white
6.3,0.3,0.22,9.5,0.040,30,111,0.9934,3.05,0.31,10.8,4,white
6.6,0.3,0.22,18.2,0.050,23,139,0.9990,3.06,0.50,9.2,5,white
9.0,0.8,0.00,2.7,0.097,11,27,0.9995,3.36,0.83,9.5,6,red
7.0,0.3,0.49,3.8,0.047,37,136,0.9938,2.95,0.40,9.4,6,white
8.9,0.5,0.24,2.9,0.094,35,106,0.9982,3.10,0.53,9.2,5,red
6.1,0.2,0.28,4.5,0.033,46,150,0.9933,3.43,0.49,10.9,6,white
6.5,0.3,0.39,7.8,0.038,61,219,0.9959,3.19,0.50,9.4,5,white
12.5,0.6,0.49,2.4,0.064,5,27,0.9999,3.08,0.87,10.9,5,red
6.0,0.2,0.34,1.0,0.036,52,184,0.9910,3.44,0.44,11.5,6,white
7.5,0.7,0.12,1.6,0.185,7,20,0.9960,3.39,0.54,9.7,5,red
6.0,0.2,0.34,1.3,0.025,23,111,0.9896,3.36,0.37,12.7,6,white
6.5,0.2,0.26,1.4,0.041,40,141,0.9941,3.34,0.72,9.5,6,white
9.4,0.4,0.32,6.5,0.027,20,167,0.9948,3.08,0.43,10.6,5,white
7.0,0.3,0.28,5.7,0.033,39,204,0.9918,3.17,0.64,12.5,6,white
6.4,0.3,0.22,12.7,0.039,50,151,0.9951,3.22,0.43,10.8,6,white
7.1,0.4,0.30,6.6,0.025,15,138,0.9913,3.18,0.46,12.6,6,white
7.1,0.3,0.30,2.4,0.042,25,122,0.9940,3.43,0.61,10.5,6,white
8.2,0.3,0.49,5.2,0.040,19,100,0.9941,3.12,0.34,10.1,6,white
7.1,0.6,0.13,1.7,0.073,21,165,0.9940,2.97,0.58,9.2,6,white
7.2,0.2,0.45,4.4,0.046,57,166,0.9943,3.13,0.62,11.2,6,white
5.4,0.2,0.19,7.1,0.048,36,110,0.9944,3.26,0.41,9.5,6,white
7.6,0.2,0.26,15.3,0.067,32,166,0.9986,3.03,0.44,9.2,4,white
7.4,0.2,0.27,1.2,0.041,27,99,0.9927,3.19,0.33,9.8,6,white
7.1,0.6,0.06,2.0,0.083,8,29,0.9986,3.67,0.73,9.6,5,red
8.4,0.3,0.40,1.7,0.067,8,20,0.9960,3.39,0.60,10.5,5,red
7.3,0.4,0.49,2.5,0.088,39,106,0.9966,3.36,0.78,11.0,5,red
7.4,0.2,0.43,7.8,0.045,27,153,0.9964,3.19,0.55,9.0,7,white
8.0,0.6,0.35,2.8,0.086,28,52,0.9970,3.31,0.62,10.8,5,red
8.9,0.2,0.33,15.8,0.035,16,132,0.9960,3.00,0.37,12.1,6,white
7.6,0.2,0.34,9.7,0.035,26,143,0.9965,3.08,0.49,9.8,6,white
7.0,0.4,0.24,1.9,0.040,21,144,0.9923,3.35,0.38,11.0,5,white
6.4,0.3,0.51,5.5,0.048,62,172,0.9942,3.08,0.45,9.1,6,white
5.5,0.2,0.45,1.7,0.046,22,113,0.9922,3.22,0.48,10.0,5,white
6.3,0.3,0.18,7.7,0.048,45,186,0.9962,3.23,0.47,9.0,5,white
7.0,0.2,0.33,4.7,0.030,25,76,0.9920,2.88,0.54,10.5,6,white
7.9,0.3,0.36,11.1,0.033,43,208,0.9969,3.14,0.46,10.3,5,white
7.6,0.4,0.31,2.3,0.082,23,71,0.9982,3.52,0.65,9.7,5,red
8.6,0.2,0.49,7.3,0.043,9,63,0.9953,3.13,0.59,10.5,6,white
8.3,0.7,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,5,red
5.9,0.3,0.33,2.1,0.027,35,138,0.9895,3.37,0.42,12.7,6,white
6.2,0.8,0.00,2.1,0.060,6,13,0.9966,3.59,0.61,10.0,4,red
6.6,0.4,0.24,4.9,0.158,47,144,0.9947,3.17,0.49,9.4,5,white
5.7,0.2,0.47,6.3,0.069,35,182,0.9939,3.11,0.46,9.8,5,white
7.7,0.4,0.30,2.3,0.082,23,69,0.9982,3.53,0.66,9.8,5,red
8.2,0.6,0.45,5.4,0.030,15,118,0.9954,3.14,0.34,9.6,5,white
6.5,0.2,0.36,16.3,0.038,43,133,0.9992,3.26,0.41,8.8,5,white
6.5,0.4,0.34,3.4,0.036,34,200,0.9937,3.14,0.76,10.0,5,white
7.0,0.2,0.33,1.0,0.043,46,110,0.9912,3.04,0.65,10.8,6,white
6.2,0.6,0.15,9.8,0.031,19,125,0.9957,3.36,0.47,10.2,6,white
7.2,0.2,0.39,1.2,0.036,32,85,0.9918,3.16,0.50,10.5,5,white
7.6,0.3,0.29,1.1,0.039,24,107,0.9932,3.03,0.56,10.4,4,white
7.7,0.3,0.42,14.3,0.045,45,213,0.9991,3.18,0.63,9.2,5,white
6.0,0.4,0.16,6.3,0.036,36,191,0.9942,3.17,0.62,9.8,5,white
8.8,0.4,0.40,2.2,0.079,19,52,0.9980,3.44,0.64,9.2,5,red
6.3,0.2,0.30,1.4,0.022,38,100,0.9910,3.42,0.57,11.4,7,white
5.2,0.4,0.04,1.4,0.036,43,119,0.9894,3.36,0.33,12.1,8,white
8.0,0.4,0.06,1.8,0.078,12,49,0.9963,3.37,0.52,9.9,6,red
7.4,0.3,0.28,12.1,0.049,31,149,0.9968,3.22,0.49,10.3,5,white
7.2,0.4,0.40,11.6,0.032,34,214,0.9963,3.10,0.51,9.8,6,white
7.0,0.3,0.35,1.5,0.039,24,125,0.9918,3.17,0.64,12.2,6,white
7.8,0.4,0.56,1.0,0.040,8,84,0.9938,3.25,0.43,10.8,5,white
7.6,0.2,0.68,12.9,0.042,56,160,0.9984,3.05,0.41,8.7,5,white
6.9,0.2,0.32,7.9,0.042,30,130,0.9946,3.40,0.39,10.5,6,white
7.0,0.5,0.09,2.1,0.062,4,9,0.9958,3.35,0.54,10.5,5,red
8.0,0.3,0.25,6.4,0.035,38,103,0.9915,2.91,0.23,12.2,6,white
7.3,0.4,0.29,1.8,0.032,26,74,0.9889,2.96,0.35,13.0,8,white
6.9,0.8,0.02,2.2,0.063,36,64,0.9975,3.57,0.77,10.0,5,red
7.0,0.4,0.21,2.3,0.086,20,65,0.9956,3.40,0.54,10.1,6,red
6.6,0.3,0.33,2.5,0.052,40,220,0.9932,3.15,0.60,10.0,5,white
7.7,0.3,0.68,3.5,0.358,5,10,0.9972,3.25,1.08,9.9,7,red
10.0,0.3,0.45,2.3,0.080,22,46,0.9987,3.30,0.67,9.8,6,red
7.9,0.4,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,5,red
5.2,0.6,0.00,2.2,0.080,15,28,0.9944,3.78,0.61,12.5,6,red
6.8,0.2,0.37,8.6,0.020,19,87,0.9913,3.20,0.22,13.3,7,white
7.3,0.3,0.30,1.3,0.040,26,84,0.9922,3.28,0.53,10.7,6,white
9.0,0.6,0.04,1.9,0.146,27,90,0.9984,3.16,0.70,9.4,5,red
6.8,0.4,0.44,6.5,0.056,31,161,0.9952,3.14,0.44,9.5,5,white
6.3,0.2,0.36,9.1,0.044,35,129,0.9934,2.97,0.30,11.1,7,white
6.8,0.6,0.06,6.0,0.060,11,18,0.9962,3.41,0.59,10.8,7,red
7.4,0.2,0.31,1.4,0.058,38,167,0.9931,3.16,0.53,10.0,7,white
7.3,0.2,0.41,14.6,0.048,73,223,0.9986,3.16,0.71,9.4,6,white
8.2,0.6,0.45,5.4,0.030,15,118,0.9954,3.14,0.34,9.6,5,white
7.0,0.2,0.74,0.8,0.044,19,163,0.9931,3.46,0.53,10.2,5,white
7.6,0.2,0.64,12.9,0.033,54,170,0.9980,3.00,0.53,8.8,5,white
13.9,0.4,0.62,3.8,0.088,6,48,1.0013,2.99,0.80,10.9,5,red
